Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"B5819W","D1","SOD-123","C8598"
"B5819W","D2","SOD-123","C8598"
"B5819W","D3","SOD-123","C8598"
"B5819W","D4","SOD-123","C8598"
"B5819W","D5","SOD-123","C8598"
"B5819W","D6","SOD-123","C8598"
"B5819W","D7","SOD-123","C8598"
"B5819W","D8","SOD-123","C8598"
"B5819W","D9","SOD-123","C8598"
"B5819W","D10","SOD-123","C8598"
"1N4148WS","D11","SOD-323","C2128"
"12H1500D","F1","PAD-1206-PAD","C182446"
"LOGO","G1","LOGO",""
"LOGO","G2","PRO_LOGO",""
"6437288-1","J1","TE_6437288-1",""
"USB","J2","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C5305780"
"Module:mega-mcu100/0.3","M1","mega-mcu100",""
"Module:power_12and5V/0.2","M2","power_12and5V",""
"4.7k","R1","R0603","C23162"
"4.7k","R2","R0603","C23162"
"4.7k","R3","R0603","C23162"
"4.7k","R4","R0603","C23162"
"4.7k","R5","R0603","C23162"
"4.7k","R6","R0603","C23162"
"4.7k","R7","R0603","C23162"
"4.7k","R8","R0603","C23162"
"4.7k","R9","R0603","C23162"
"4.7k","R10","R0603","C23162"
"33k","R11","R0603","C4216"
"6.8k","R12","R0603","C23212"
"0","R13","R0805","C17477"
"2k7","R14","R0805","C17530"
"2k7","R15","R0805","C17530"
"2k7","R16","R0805","C17530"
"2k7","R17","R0805","C17530"
"2k7","R18","R0805","C17530"
"2k7","R19","R0805","C17530"
"2k7","R20","R0805","C17530"
"2k7","R21","R0805","C17530"
"VBUS","TP1","TestPoint_Pad_D1.0mm",""
"+5V","TP2","TestPoint_Pad_D1.0mm",""
"GND","TP3","TestPoint_Pad_D2.0mm",""
"+5VP","TP4","TestPoint_Pad_D1.0mm",""
"GNDA","TP5","TestPoint_Pad_D1.0mm",""
"+3.3V","TP7","TestPoint_Pad_D1.0mm",""
"CANH","TP9","TestPoint_Pad_D1.0mm",""
"CANL","TP10","TestPoint_Pad_D1.0mm",""
"SWON","TP11","TestPoint_Pad_D1.0mm",""
"VNLD5160TR-E","U1","SO8","C377942"
"VNLD5160TR-E","U2","SO8","C377942"
"VNLD5160TR-E","U3","SO8","C377942"
"VNLD5160TR-E","U4","SO8","C377942"
"VNLD5160TR-E","U5","SO8","C377942"
"LTV-247","U6","SOP-16_4.4x10.4mm_P1.27mm","C115451"
"LTV-247","U7","SOP-16_4.4x10.4mm_P1.27mm","C115451"
