Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,12.100142mm,43.500000mm,Bottom,180.0,12.100142mm,43.500000mm
G1,45.794651mm,54.107713mm,Bottom,180.0,45.794651mm,54.107713mm
D1,11.900000mm,58.350000mm,Top,-90.0,11.900000mm,58.350000mm
D2,15.400000mm,58.350000mm,Top,-90.0,15.400000mm,58.350000mm
D3,17.700000mm,58.350000mm,Top,-90.0,17.700000mm,58.350000mm
D4,21.100000mm,58.350000mm,Top,-90.0,21.100000mm,58.350000mm
D5,23.400000mm,58.350000mm,Top,-90.0,23.400000mm,58.350000mm
D6,26.900000mm,58.350000mm,Top,-90.0,26.900000mm,58.350000mm
D7,29.200000mm,58.350000mm,Top,-90.0,29.200000mm,58.350000mm
D8,32.600000mm,58.350000mm,Top,-90.0,32.600000mm,58.350000mm
D9,6.100000mm,58.350000mm,Top,-90.0,6.100000mm,58.350000mm
D10,9.600000mm,58.350000mm,Top,-90.0,9.600000mm,58.350000mm
D11,17.500000mm,30.500000mm,Top,180.0,17.500000mm,30.500000mm
F1,10.200000mm,66.500000mm,Top,-90.0,10.200000mm,66.500000mm
G2,58.200000mm,69.300000mm,Top,90.0,58.200000mm,69.300000mm
J1,31.550000mm,68.500000mm,Top,180.0,31.550000mm,68.500000mm
J2,12.400000mm,33.800000mm,Top,180.0,12.400000mm,33.800000mm
M1,60.275005mm,43.975005mm,Top,180.0,60.275005mm,43.975005mm
M2,2.224999mm,8.724999mm,Top,0.0,2.224999mm,8.724999mm
R1,12.200000mm,47.750000mm,Top,0.0,12.200000mm,47.750000mm
R2,15.100000mm,47.750000mm,Top,180.0,15.100000mm,47.750000mm
R3,17.900000mm,47.750000mm,Top,0.0,17.900000mm,47.750000mm
R4,20.800000mm,47.750000mm,Top,180.0,20.800000mm,47.750000mm
R5,23.700000mm,47.700000mm,Top,180.0,23.700000mm,47.700000mm
R6,29.500000mm,47.750000mm,Top,0.0,29.500000mm,47.750000mm
R7,26.600000mm,47.700000mm,Top,0.0,26.600000mm,47.700000mm
R8,32.400000mm,47.750000mm,Top,180.0,32.400000mm,47.750000mm
R9,6.400000mm,47.750000mm,Top,0.0,6.400000mm,47.750000mm
R10,9.300000mm,47.750000mm,Top,180.0,9.300000mm,47.750000mm
R11,9.600000mm,73.100000mm,Top,-90.0,9.600000mm,73.100000mm
R12,10.900000mm,73.100000mm,Top,90.0,10.900000mm,73.100000mm
R13,21.500000mm,10.300000mm,Top,-90.0,21.500000mm,10.300000mm
R14,48.323784mm,58.792500mm,Top,90.0,48.323784mm,58.792500mm
R15,45.820856mm,58.792500mm,Top,90.0,45.820856mm,58.792500mm
R16,43.317928mm,58.792500mm,Top,90.0,43.317928mm,58.792500mm
R17,40.815000mm,58.792500mm,Top,90.0,40.815000mm,58.792500mm
R18,59.718784mm,58.680021mm,Top,90.0,59.718784mm,58.680021mm
R19,57.215856mm,58.680021mm,Top,90.0,57.215856mm,58.680021mm
R20,54.712928mm,58.680021mm,Top,90.0,54.712928mm,58.680021mm
R21,52.210000mm,58.680021mm,Top,90.0,52.210000mm,58.680021mm
U1,13.665000mm,52.225000mm,Top,0.0,13.665000mm,52.225000mm
U2,19.365000mm,52.225000mm,Top,0.0,19.365000mm,52.225000mm
U3,25.165000mm,52.225000mm,Top,0.0,25.165000mm,52.225000mm
U4,30.965000mm,52.225000mm,Top,0.0,30.965000mm,52.225000mm
U5,7.865000mm,52.225000mm,Top,0.0,7.865000mm,52.225000mm
U6,44.415000mm,52.105000mm,Top,180.0,44.415000mm,52.105000mm
U7,55.725000mm,52.130000mm,Top,180.0,55.725000mm,52.130000mm
